author_book_count,author_avg_lexile,author_lexile_consistency,is_prolific_author,is_specialist_author,title_length,title_word_count,title_has_numbers,description_length,description_word_count,has_substantial_description,theme_count,has_friendship_theme,has_adventure_theme,has_family_theme,has_imagination_theme,has_magic_theme,has_humor_theme,has_complex_themes,reading_confidence_llm,lexile_confidence,avg_confidence,high_confidence,data_completeness_score,author_primary_category_encoded
4,262.5,129.9038105676658,0,0,7,1,0,89,15,0,3,0,0,0,0,0,0,0,1.0,0.8,0.9,1,1.0,2
1,175.0,0.0,0,1,43,8,0,68,12,0,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
4,175.0,0.0,0,1,15,4,0,137,28,1,3,0,0,0,0,0,0,1,0.9,0.8,0.8500000000000001,1,1.0,2
8,525.0,290.01231500945414,1,0,23,5,0,155,28,1,3,0,0,0,1,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
1,750.0,0.0,0,1,60,11,1,70,13,0,3,0,0,0,0,0,0,0,0.9,0.6,0.75,0,1.0,3
5,450.0,0.0,1,1,7,1,0,170,28,1,3,0,1,0,1,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
2,600.0,212.13203435596427,0,0,39,6,0,553,103,1,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,3
1,175.0,0.0,0,1,51,9,1,104,20,1,3,1,1,0,1,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
3,358.3333333333333,158.77132402714707,0,0,37,7,1,91,20,0,3,1,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
1,450.0,0.0,0,1,11,2,0,140,26,1,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
1,175.0,0.0,0,1,25,6,0,129,24,1,3,0,0,0,1,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
1,750.0,0.0,0,1,19,3,1,668,116,1,3,0,0,0,0,0,0,1,0.9,0.6,0.75,0,1.0,3
5,230.0,122.98373876248843,1,0,14,4,0,102,21,1,3,1,0,0,1,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
2,750.0,0.0,0,1,26,4,1,435,73,1,3,0,0,0,0,0,0,0,0.9,0.6,0.75,0,1.0,3
1,175.0,0.0,0,1,35,7,1,80,16,0,3,1,0,0,1,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
3,266.6666666666667,158.77132402714707,0,0,17,3,0,231,40,1,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
2,312.5,194.45436482630058,0,0,15,2,0,123,21,1,3,1,1,1,0,0,0,0,1.0,0.8,0.9,1,1.0,1
1,175.0,0.0,0,1,17,5,0,75,14,0,3,0,0,0,0,0,0,1,1.0,0.8,0.9,1,1.0,2
4,175.0,0.0,0,1,12,3,0,105,17,1,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
1,175.0,0.0,0,1,21,4,0,255,45,1,4,0,0,1,0,0,0,1,0.9,0.8,0.8500000000000001,1,1.0,2
1,750.0,0.0,0,1,39,6,0,176,27,1,3,0,1,0,0,0,0,1,0.9,0.6,0.75,0,1.0,3
10,750.0,0.0,1,1,42,7,1,1297,208,1,4,1,0,0,0,0,0,1,0.9,0.6,0.75,0,1.0,3
1,175.0,0.0,0,1,17,3,0,110,19,1,3,0,0,0,0,0,0,1,1.0,0.8,0.9,1,1.0,2
4,750.0,0.0,0,1,49,9,1,701,125,1,3,0,1,0,0,0,0,0,0.9,0.6,0.75,0,1.0,3
10,750.0,0.0,1,1,57,10,1,253,46,1,4,1,1,0,0,0,0,1,0.9,0.6,0.75,0,1.0,3
2,312.5,194.45436482630058,0,0,3,1,0,100,18,0,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
3,650.0,173.20508075688772,0,0,47,8,1,250,44,1,4,0,0,0,0,1,0,0,0.9,0.6,0.75,0,1.0,3
8,175.0,0.0,1,1,18,4,0,113,23,1,3,0,0,0,0,0,0,1,0.9,0.8,0.8500000000000001,1,1.0,2
3,175.0,0.0,0,1,29,7,0,56,12,0,3,1,0,0,0,0,0,0,1.0,0.8,0.9,1,1.0,2
4,262.5,129.9038105676658,0,0,7,1,0,148,26,1,3,0,0,0,1,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
10,175.0,0.0,1,1,44,9,0,111,20,1,3,0,0,1,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
1,750.0,0.0,0,1,41,8,1,1456,254,1,4,0,0,1,0,0,0,0,0.9,0.6,0.75,0,1.0,3
2,750.0,0.0,0,1,69,9,1,744,124,1,4,1,1,0,0,0,0,0,0.9,0.6,0.75,0,1.0,3
1,750.0,0.0,0,1,16,2,0,178,29,1,4,1,0,1,0,0,0,0,0.9,0.6,0.75,0,1.0,3
4,750.0,0.0,0,1,24,5,1,225,40,1,4,1,1,0,1,0,0,0,0.9,0.6,0.75,0,1.0,3
1,750.0,0.0,0,1,39,7,1,638,109,1,4,0,0,0,0,0,0,0,0.9,0.6,0.75,0,1.0,3
5,630.0,164.31676725154983,1,0,31,6,1,688,125,1,4,0,1,1,1,1,0,0,0.9,0.6,0.75,0,1.0,3
2,750.0,0.0,0,1,37,8,1,571,102,1,4,1,1,0,0,0,0,0,0.9,0.6,0.75,0,1.0,3
1,175.0,0.0,0,1,20,3,0,121,23,1,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
2,312.5,194.45436482630058,0,0,41,6,1,2813,476,1,3,1,1,1,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
2,175.0,0.0,0,1,14,2,0,193,36,1,3,1,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
2,175.0,0.0,0,1,20,4,0,73,13,0,3,0,0,0,0,0,0,0,0.9,0.6,0.75,0,1.0,2
14,175.0,0.0,1,1,42,9,1,528,85,1,4,1,0,0,1,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
6,175.0,0.0,1,1,17,4,0,600,110,1,3,1,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
10,175.0,0.0,1,1,38,7,0,112,20,1,3,0,0,1,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
1,450.0,0.0,0,1,25,4,0,107,15,1,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
3,175.0,0.0,0,1,15,3,0,87,15,0,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
4,750.0,0.0,0,1,43,9,1,198,38,1,3,0,0,0,0,1,0,0,0.9,0.6,0.75,0,1.0,3
