title,author,goodreads_url
Hop On Pop,Dr. Seuss,https://www.goodreads.com/book/show/206962.Hop_On_Pop
Harry the Dirty Dog,Gene Zion,https://www.goodreads.com/book/show/857448.Harry_the_Dirty_Dog
"Bunnicula: A Rabbit-Tale of Mystery (Bunnicula, #1)",Deborah Howe,https://www.goodreads.com/book/show/281235.Bunnicula
Horton Hatches the Egg,Dr. Seuss,https://www.goodreads.com/book/show/11301.Horton_Hatches_the_Egg
The Runaway Bunny,Margaret Wise Brown,https://www.goodreads.com/book/show/58922.The_Runaway_Bunny
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
Stone Soup,Jon J. Muth,https://www.goodreads.com/book/show/331701.Stone_Soup
A Light in the Attic,Shel Silverstein,https://www.goodreads.com/book/show/30118.A_Light_in_the_Attic
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
The Three Billy Goats Gruff,Paul Galdone,https://www.goodreads.com/book/show/789559.The_Three_Billy_Goats_Gruff
Peter Pan,J.M. Barrie,https://www.goodreads.com/book/show/34268.Peter_Pan
"The Boxcar Children (The Boxcar Children, #1)",Gertrude Chandler Warner,https://www.goodreads.com/book/show/297249.The_Boxcar_Children
Yertle the Turtle and Other Stories,Dr. Seuss,https://www.goodreads.com/book/show/420404.Yertle_the_Turtle_and_Other_Stories
"Frog and Toad Together (Frog and Toad, #2)",Arnold Lobel,https://www.goodreads.com/book/show/94803.Frog_and_Toad_Together
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
A Little Princess,Frances Hodgson Burnett,https://www.goodreads.com/book/show/3008.A_Little_Princess
"You Are Special (Wemmicksville, #1)",Max Lucado,https://www.goodreads.com/book/show/56728.You_Are_Special
"Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle, #1)",Betty MacDonald,https://www.goodreads.com/book/show/25051.Mrs_Piggle_Wiggle
Lilly's Purple Plastic Purse,Kevin Henkes,https://www.goodreads.com/book/show/825081.Lilly_s_Purple_Plastic_Purse
"Holes (Holes, #1)",Louis Sachar,https://www.goodreads.com/book/show/38709.Holes
And to Think That I Saw It on Mulberry Street,Dr. Seuss,https://www.goodreads.com/book/show/28351.And_to_Think_That_I_Saw_It_on_Mulberry_Street
The Mitten,Jan Brett,https://www.goodreads.com/book/show/967494.The_Mitten
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
The Kissing Hand,Audrey Penn,https://www.goodreads.com/book/show/18419.The_Kissing_Hand
Sylvester and the Magic Pebble,William Steig,https://www.goodreads.com/book/show/457762.Sylvester_and_the_Magic_Pebble
"Knuffle Bunny: A Cautionary Tale (Knuffle Bunny, #1)",Mo Willems,https://www.goodreads.com/book/show/490867.Knuffle_Bunny
Little Blue Truck,Alice Schertle,https://www.goodreads.com/book/show/2241348.Little_Blue_Truck
Strega Nona,Tomie dePaola,https://www.goodreads.com/book/show/581409.Strega_Nona
The Dot,Peter H. Reynolds,https://www.goodreads.com/book/show/825377.The_Dot
There Was an Old Lady Who Swallowed a Fly,Pam Adams,https://www.goodreads.com/book/show/949709.There_Was_an_Old_Lady_Who_Swallowed_a_Fly
Coraline,Neil Gaiman,https://www.goodreads.com/book/show/17061.Coraline
"Little Women (Little Women, #1)",Louisa May Alcott,https://www.goodreads.com/book/show/1934.Little_Women
Number the Stars,Lois Lowry,https://www.goodreads.com/book/show/47281.Number_the_Stars
"Little House on the Prairie (Little House, #3)",Laura Ingalls Wilder,https://www.goodreads.com/book/show/77767.Little_House_on_the_Prairie
"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,https://www.goodreads.com/book/show/24337.Ella_Enchanted
Dogs vs Bears,Austin    Davis,https://www.goodreads.com/book/show/197525278-dogs-vs-bears
"The Borrowers (The Borrowers, #1)",Mary Norton,https://www.goodreads.com/book/show/348573.The_Borrowers
"Tales of a Fourth Grade Nothing (Fudge, #1)",Judy Blume,https://www.goodreads.com/book/show/37741.Tales_of_a_Fourth_Grade_Nothing
A Day in the Life of Cowboy Mike and Winston,Michael Eastwood,https://www.goodreads.com/book/show/72403204-a-day-in-the-life-of-cowboy-mike-and-winston
The Going To Bed Book,Sandra Boynton,https://www.goodreads.com/book/show/53580.The_Going_To_Bed_Book
The Wind in the Willows,Kenneth Grahame,https://www.goodreads.com/book/show/5659.The_Wind_in_the_Willows
Dr. Seuss's ABC: An Amazing Alphabet Book!,Dr. Seuss,https://www.goodreads.com/book/show/17797344-dr-seuss-s-abc
Because of Winn-Dixie,Kate DiCamillo,https://www.goodreads.com/book/show/357664.Because_of_Winn_Dixie
How to Eat Fried Worms,Thomas Rockwell,https://www.goodreads.com/book/show/322351.How_to_Eat_Fried_Worms
The Napping House,Audrey Wood,https://www.goodreads.com/book/show/815234.The_Napping_House
The Complete Fairy Tales,Hans Christian Andersen,https://www.goodreads.com/book/show/46306.The_Complete_Fairy_Tales
Mike Mulligan and His Steam Shovel,Virginia Lee Burton,https://www.goodreads.com/book/show/153542.Mike_Mulligan_and_His_Steam_Shovel
"Watership Down (Watership Down, #1)",Richard  Adams,https://www.goodreads.com/book/show/76620.Watership_Down
The Day the Crayons Quit,Drew Daywalt,https://www.goodreads.com/book/show/16101018-the-day-the-crayons-quit
The Mystic Princesses and the Whirlpool,P.J. LaRue,https://www.goodreads.com/book/show/17235412-the-mystic-princesses-and-the-whirlpool
"Mary Poppins (Mary Poppins, #1)",P.L. Travers,https://www.goodreads.com/book/show/152380.Mary_Poppins
Where the Red Fern Grows,Wilson Rawls,https://www.goodreads.com/book/show/10365.Where_the_Red_Fern_Grows
"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,https://www.goodreads.com/book/show/78411.The_Bad_Beginning
"World Cruise by Whale: Mike and Alex, Parts 3 and 4",Peter Van Wermeskerken,https://www.goodreads.com/book/show/216716338-world-cruise-by-whale
"The Little Mouse, the Red Ripe Strawberry, and the Big Hungry Bear",Don Wood,https://www.goodreads.com/book/show/682920.The_Little_Mouse_the_Red_Ripe_Strawberry_and_the_Big_Hungry_Bear
"Heidi (Heidi, #1-2)",Johanna Spyri,https://www.goodreads.com/book/show/93.Heidi
Bread and Jam for Frances,Russell Hoban,https://www.goodreads.com/book/show/911579.Bread_and_Jam_for_Frances
"Are You There God? It’s Me, Margaret",Judy Blume,https://www.goodreads.com/book/show/37732.Are_You_There_God_It_s_Me_Margaret
Creepy Carrots!,Aaron Reynolds,https://www.goodreads.com/book/show/13259987-creepy-carrots
Stuart Little,E.B. White,https://www.goodreads.com/book/show/138959.Stuart_Little
What Do People Do All Day?,Richard Scarry,https://www.goodreads.com/book/show/313375.What_Do_People_Do_All_Day_
The Invisible Boy,Trudy Ludwig,https://www.goodreads.com/book/show/17140549-the-invisible-boy
