title,author,goodreads_url,ol_title,ol_author,cover_url,openlibrary_url
The Pushcart War,Jean Merrill,https://www.goodreads.com/book/show/219557.The_Pushcart_War,The Pushcart War,Jean Merrill,https://covers.openlibrary.org/b/id/6554930-L.jpg,https://openlibrary.org/works/OL15150004W
Robert the Rose Horse,Joan Heilbroner,https://www.goodreads.com/book/show/828391.Robert_the_Rose_Horse,Robert the Rose Horse,Joan Heilbroner,https://covers.openlibrary.org/b/id/12944596-L.jpg,https://openlibrary.org/works/OL28961399W
Little Pea,Amy Krouse Rosenthal,https://www.goodreads.com/book/show/507402.Little_Pea,Little Pea,Amy Krouse Rosenthal,https://covers.openlibrary.org/b/id/601322-L.jpg,https://openlibrary.org/works/OL15057272W
"The Secret Queen (The Empyrical Tales, #3)",Mark  Miller,https://www.goodreads.com/book/show/13422666-the-secret-queen,The Secret Queen,Mark Miller,https://covers.openlibrary.org/b/id/7668907-L.jpg,https://openlibrary.org/works/OL17483552W
Tommy Goes Trick-or-Treating,Emlyn Chand,https://www.goodreads.com/book/show/16051622-tommy-goes-trick-or-treating,Tommy Goes Trick-Or-Treating,Emlyn Chand,,https://openlibrary.org/works/OL29499047W
"Can't You Sleep, Little Bear?'",Barbara Waddell Martin and Firth,https://www.goodreads.com/book/show/2025742.Can_t_You_Sleep_Little_Bear_,,,,
"Meet Samantha: An American Girl (American Girl: Samantha, #1)",Susan S. Adler,https://www.goodreads.com/book/show/200963.Meet_Samantha,,,,
"Dealing with Dragons (Enchanted Forest Chronicles, #1)",Patricia C. Wrede,https://www.goodreads.com/book/show/150739.Dealing_with_Dragons,Dealing with Dragons,Patricia C. Wrede,https://covers.openlibrary.org/b/id/113535-L.jpg,https://openlibrary.org/works/OL2660331W
I Am a Bunny (A Golden Sturdy Book),Ole Risom,https://www.goodreads.com/book/show/328439.I_Am_a_Bunny,I Am a Bunny (A Golden Sturdy Book),Ole Risom,https://covers.openlibrary.org/b/id/232650-L.jpg,https://openlibrary.org/works/OL3970396W
Big Red Barn,Margaret Wise Brown,https://www.goodreads.com/book/show/401730.Big_Red_Barn,Big Red Barn,Margaret Wise Brown,https://covers.openlibrary.org/b/id/4660150-L.jpg,https://openlibrary.org/works/OL151876W
Curious George Makes Pancakes,Margret Rey,https://www.goodreads.com/book/show/819043.Curious_George_Makes_Pancakes,Curious George makes pancakes,Margret Rey,https://covers.openlibrary.org/b/id/257683-L.jpg,https://openlibrary.org/works/OL18428406W
The Best-Loved Doll (An Owlet Book),Rebecca Caudill,https://www.goodreads.com/book/show/1572492.The_Best_Loved_Doll,The Best-Loved Doll (An Owlet Book),Rebecca Caudill,https://covers.openlibrary.org/b/id/580011-L.jpg,https://openlibrary.org/works/OL4273477W
The Incredible Book Eating Boy,Oliver Jeffers,https://www.goodreads.com/book/show/819910.The_Incredible_Book_Eating_Boy,The Incredible Book Eating Boy,Oliver Jeffers,https://covers.openlibrary.org/b/id/14035-L.jpg,https://openlibrary.org/works/OL5823167W
Richard Scarry's Please and Thank You Book,Richard Scarry,https://www.goodreads.com/book/show/784232.Richard_Scarry_s_Please_and_Thank_You_Book,Richard Scarry's please and thank you book,Richard Scarry,https://covers.openlibrary.org/b/id/4653860-L.jpg,https://openlibrary.org/works/OL15638626W
"Jeremy Thatcher, Dragon Hatcher (Magic Shop, #2)",Bruce Coville,https://www.goodreads.com/book/show/770614.Jeremy_Thatcher_Dragon_Hatcher,"Jeremy Thatcher, Dragon Hatcher",Bruce Coville,https://covers.openlibrary.org/b/id/112794-L.jpg,https://openlibrary.org/works/OL69326W
CEO-Stories: Children Employed by Owners,Michael Eastwood,https://www.goodreads.com/book/show/55297741-ceo-stories,,,,
The Last of the Really Great Whangdoodles,Julie Andrews Edwards,https://www.goodreads.com/book/show/10336.The_Last_of_the_Really_Great_Whangdoodles,The last of the really great whangdoodles,Julie Edwards,https://covers.openlibrary.org/b/id/6629346-L.jpg,https://openlibrary.org/works/OL103419W
"The Penultimate Peril (A Series of Unfortunate Events, #12)",Lemony Snicket,https://www.goodreads.com/book/show/65110.The_Penultimate_Peril,The Penultimate Peril,Lemony Snicket,,https://openlibrary.org/works/OL34679120W
"Finn Family Moomintroll (The Moomins, #3)",Tove Jansson,https://www.goodreads.com/book/show/79549.Finn_Family_Moomintroll,Finn Family Moomintroll,Tove Jansson,,https://openlibrary.org/works/OL37853596W
Princess Furball,Charlotte S. Huck,https://www.goodreads.com/book/show/389902.Princess_Furball,Princess Furball,Charlotte S. Huck,https://covers.openlibrary.org/b/id/430406-L.jpg,https://openlibrary.org/works/OL2717376W
One,Kathryn Otoshi,https://www.goodreads.com/book/show/3118349-one,One,Kathryn Otoshi,https://covers.openlibrary.org/b/id/6711672-L.jpg,https://openlibrary.org/works/OL8836233W
